"subject","object","probability"
"end run","running","1"
"object lesson","word of advice","1"
"eglantine","rosebush","1"
"rapper","device","1"
"sick joke","jape","1"
"supplement","element","1"
"threads","article of clothing","1"
"paddle steamer","steamship","1"
"meadow saxifrage","saxifrage","1"
"cable tramway","conveyance","1"
"space","graphic symbol","1"
"hundred dollar bill","banker's bill","1"
"arteria cerebelli","artery","1"
"truckler","sycophant","1"
"peacenik","disarmer","1"
"laziness","inactivity","1"
"whiner","disagreeable person","1"
"orthomorphic projection","map projection","1"
"grasp","influence","1"
"telopea speciosissima","shrub","1"
"genus descurainia","dilleniid dicot genus","1"
"cypripedia","orchid","1"
"sex gland","ductless gland","1"
"directed study","course","1"
"gale","current of air","1"
"chlorpromazine","major tranquilliser","1"
"dilatation and curettage","surgery","1"
"lichen","skin disorder","1"
"false miterwort","herbaceous plant","1"
"line of business","business","1"
"trap play","manoeuvre","1"
"petit mal","epilepsy","1"
"areolar tissue","connective tissue","1"
"bed linen","linen","1"
"north germanic language","germanic","1"
"lagomorpha","animal order","1"
"klutz","poor fish","1"
"pilferage","thievery","1"
"genus antilope","mammal genus","1"
"mosque","house of god","1"
"varietal wine","vino","1"
"wrongful death","death","1"
"ballottement","tactual exploration","1"
"sierra plum","plum","1"
"product introduction","launching","1"
"biceps brachii","biceps","1"
"cowgirl","puncher","1"
"peer","someone","1"
"haymow","deal","1"
"captor","someone","1"
"vena facialis anterior","facial vein","1"
"sky wave","radio emission","1"
"runner","jack","1"
"kaposi's sarcoma","sarcoma","1"
"resisting arrest","assault","1"
"nutritionist's calorie","work unit","1"
"cimex lectularius","hemipteron","1"
"birefringence","refraction","1"
"illusionist","performing artist","1"
"styptic","medication","1"
"papua","region","1"
"parsley","herb","1"
"genus treponema","bacteria genus","1"
"pekinese","toy","1"
"sleep","period","1"
"psychoanalyst","psychiatrist","1"
"deck chair","folding chair","1"
"menorrhea","blood","1"
"prestidigitator","performing artist","1"
"whaling gun","gun","1"
"payroll department","section","1"
"ingrate","persona non grata","1"
"std","contagion","1"
"wholesale house","outlet","1"
"fulfillment","satisfaction","1"
"grape vine","vine","1"
"oestrus ovis","botfly","1"
"idiot","simple","1"
"machine gun","automatic gun","1"
"genus pogonia","liliopsid genus","1"
"sild","sardine","1"
"stemmer","algorithmic rule","1"
"gagman","author","1"
"leading indicator","indicant","1"
"pass","concession","1"
"flacourtia indica","bush","1"
"simian","primate","1"
"dyers' chamomile","composite plant","1"
"classmate","acquaintance","1"
"value","amount","1"
"flashlight fish","spiny-finned fish","1"
"blue skullcap","herbaceous plant","1"
"vena vesicalis","vena","1"
"fecula","excretion","1"
"rational number","real","1"
"rummage sale","sales event","1"
"heat flash","flash","1"
"hiccough nut","bush","1"
"atavist","being","1"
"flautist","instrumentalist","1"
"glossitis","inflammation","1"
"crotalaria spectabilis","crotalaria","1"
"predomination","ascendence","1"
"texas ranger","peace officer","1"
"pineal eye","sense organ","1"
"quiddity","kernel","1"
"half life","time period","1"
"skim","cover","1"
"achondroplasia","genetic disorder","1"
"daughter cell","cell","1"
"gunboat diplomacy","diplomacy","1"
"family phoeniculidae","bird family","1"
"trophy wife","married woman","1"
"sleepover","affair","1"
"lamisil","antimycotic","1"
"coxcomb","beau","1"
"mst","standard time","1"
"plant department","business department","1"
"protectiveness","warmness","1"
"preventive","cure","1"
"violoncello","bowed stringed instrument","1"
"booster","rocket","1"
"skunk bear","musteline mammal","1"
"pilotless aircraft","heavier-than-air craft","1"
"crash programme","course of study","1"
"niceness","difficulty","1"
"football","field game","1"
"tack","sailing","1"
"red light","visual signal","1"
"ammonium chloride","salt","1"
"retinue","assemblage","1"
"adult body","form","1"
"freshwater limpet","gastropod","1"
"jungle","forest","1"
"blighia","dicot genus","1"
"icsh","gonadotrophic hormone","1"
"clip","cut","1"
"abstraction","removal","1"
"genus naias","monocot genus","1"
"periodontics","dentistry","1"
"dickey","backseat","1"
"rheostat","resistance","1"
"suppuration","bodily process","1"
"shift","dress","1"
"lemon yellow","yellow","1"
"gentian violet","bactericide","1"
"fallow deer","deer","1"
"ticket agent","trafficker","1"
"twilight","visible radiation","1"
"cannaceae","monocot family","1"
"eupnea","respiration","1"
"deletion","mutation","1"
"paleo-amerind culture","civilisation","1"
"beaked parsley","herbaceous plant","1"
"fifty dollar bill","government note","1"
"gros point","sewing stitch","1"
"feud","conflict","1"
"numskull","pudden-head","1"
"charge","onslaught","1"
"scrapper","mortal","1"
"cyclorama","picture","1"
"postponement","break","1"
"magistrature","place","1"
"arteria carotis","artery","1"
"fluid","matter","1"
"host","army","1"
"birth control pill","contraceptive","1"
"urtica","magnoliopsid genus","1"
"vexation","mental condition","1"
"htlv-1","retrovirus","1"
"relevancy","connectedness","1"
"nb","annotation","1"
"genus erodium","rosid dicot genus","1"
"violet family","dilleniid dicot family","1"
"conceivableness","possibility","1"
"reformist","eristic","1"
"argyreia","dicot genus","1"
"hilarity","gaiety","1"
"slops","provender","1"
"keratoscleritis","redness","1"
"distortion","error","1"
"musa acuminata","banana tree","1"
"neanderthal","human being","1"
"cue stick","sports implement","1"
"rail","wading bird","1"
"entomophobia","zoophobia","1"
"sweetmeat","confection","1"
"personality test","mental test","1"
"unification","combining","1"
"suppressive fire","firing","1"
"rough cut","moving-picture show","1"
"rating","judgement","1"
"rogue's gallery","accumulation","1"
"anticipator","illusionist","1"
"tiercel","hawk","1"
"precept","ism","1"
"genus schlumbergera","caryophylloid dicot genus","1"
"liberalness","tolerance","1"
"megadeath","expiry","1"
"radiation field","field","1"
"agama","agamid lizard","1"
"kilocalorie","heat unit","1"
"cold rubber","natural rubber","1"
"goat","person","1"
"trainload","loading","1"
"procellaria","bird genus","1"
"genus melogale","mammal genus","1"
"argyll","sauceboat","1"
"tawny owl","hooter","1"
"cyclist","pedaler","1"
"ascidian","urochordate","1"
"sb","metallic element","1"
"one-armed bandit","coin machine","1"
"snicker","laughter","1"
"f.i.s.c.","judicature","1"
"machine tool","machine","1"
"madder","rubiaceous plant","1"
"irs","office","1"
"magnetic recorder","recording equipment","1"
"turdus philomelos","thrush","1"
"asadha","hindu calendar month","1"
"feijoa","bush","1"
"ceratostomella","fungus genus","1"
"ern","sea eagle","1"
"fishing rig","appurtenance","1"
"layoff","shutdown","1"
"maundy","ceremonial","1"
"electric range","white goods","1"
"bird","badminton equipment","1"
"beef tenderloin","undercut","1"
"motmot","coraciiform bird","1"
"npc","government agency","1"
"impeccability","righteousness","1"
"searching fire","firing","1"
"os capitatum","carpal bone","1"
"roofing","trade","1"
"hexane","solvent","1"
"rangifer caribou","greenland caribou","1"
"green","veggie","1"
"infix","affix","1"
"salute","greeting","1"
"terazosin","alpha blocker","1"
"baby oil","balm","1"
"tetchiness","peevishness","1"
"disa","authority","1"
"incautiousness","carelessness","1"
"sanitation","cleanup","1"
"hemolysin","organic compound","1"
"glyceryl","radical","1"
"moral obligation","obligation","1"
"alcaic verse","poem","1"
"siderocyte","red blood cell","1"
"helxine","dicot genus","1"
"intelligence","administrative unit","1"
"rabato","neckband","1"
"c.p.u.","computer hardware","1"
"red-green dichromacy","dichromatism","1"
"space capsule","ballistic capsule","1"
"electronic dictionary","lexical database","1"
"concretism","representation","1"
"insurance coverage","sum of money","1"
"trimming","cutting off","1"
"reliance","dependance","1"
"battlefield","parcel","1"
"point","target","1"
"aghan","hindu calendar month","1"
"roman catholic","catholic","1"
"damoiselle","maid","1"
"venom","zootoxin","1"
"mollymawk","pelagic bird","1"
"subordinate conjunction","continuative","1"
"debitor","mortal","1"
"black hickory","walnut tree","1"
"brace and bit","drill","1"
"seeing","sight","1"
"gun room","military quarters","1"
"absolute pitch","sense of hearing","1"
"jumper","connector","1"
"law offender","crook","1"
"shoreline","bounds","1"
"extragalactic nebula","aggregation","1"
"counseling","substance","1"
"academic degree","honor","1"
"tonometry","measurement","1"
"thanksgiving day","legal holiday","1"
"pencil","cosmetic","1"
"hobgoblin","evil spirit","1"
"nutrition","biological process","1"
"postman","deliverer","1"
"nonsteroidal anti-inflammatory","anti-inflammatory","1"
"ninja","mercenary","1"
"genus platypoecilus","fish genus","1"
"basso continuo","bass","1"
"kingcup","herbaceous plant","1"
"squeeze play","endeavor","1"
"eponym","name","1"
"bedder","garden plant","1"
"mangold","beet","1"
"memorialisation","observance","1"
"lubber's line","point of reference","1"
"bed","surface","1"
"pyramidal motor system","efferent nerve","1"
"disassortative mating","coupling","1"
"harrier","attacker","1"
"yellow bugle","bugle","1"
"ranunculus repens","butterflower","1"
"myrica","dicot genus","1"
"squirt","outpouring","1"
"spokesman","representative","1"
"wince","jump","1"
"enfranchisement","freedom","1"
"wind energy facility","power station","1"
"girondist","subverter","1"
"archeopteryx","bird","1"
"russian","indigen","1"
"cryptocoryne","hydrophytic plant","1"
"animalization","depiction","1"
"midterm exam","test","1"
"saturnalia","revelry","1"
"table tipping","psychic phenomena","1"
"top banana","personage","1"
"acicula","piece","1"
"bloodthirstiness","disposition","1"
"plasma physics","physics","1"
"wampumpeag","string of beads","1"
"rope burn","scrape","1"
"lemon oil","seasoning","1"
"petite bourgeoisie","bourgeoisie","1"
"bible","vade mecum","1"
"sparrow unit","hit squad","1"
"antipsychotic agent","antianxiety agent","1"
"ovarian vein","venous blood vessel","1"
"ch'i","vim","1"
"aluminium chloride","chloride","1"
"cognition","psychological feature","1"
"cartilage bone","os","1"
"kazakhstani","asian","1"
"squelch circuit","circuit","1"
"stool pigeon","decoy","1"
"riser pipe","pipage","1"
"vishnuism","hindooism","1"
"flash","happening","1"
"samolus","magnoliopsid genus","1"
"cayenne","flavourer","1"
"vanity","trait","1"
"ohio buckeye","buckeye","1"
"slopseller's shop","haberdashery store","1"
"built-soap powder","soap","1"
"sunbonnet","bonnet","1"
"genus rhizophora","dicot genus","1"
"skunk","ganja","1"
"optical fusion","beholding","1"
"badger","musteline","1"
"serjeant-at-arms","officeholder","1"
"game show","programme","1"
"cow","placental mammal","1"
"siamese cat","felis domesticus","1"
"hackney coach","equipage","1"
"abseil","descent","1"
"linguistics","humanistic discipline","1"
"e","letter of the alphabet","1"
"proximity","neighborhood","1"
"climbing hydrangea","shrub","1"
"testator","someone","1"
"onion butter","paste","1"
"atheneum","gild","1"
"vogue","discernment","1"
"pick","thread","1"
"tiyin","uzbekistani monetary unit","1"
"allegheny mountain spurge","pachysandra","1"
"marsupial mole","pouched mammal","1"
"uigur","turkic","1"
"wild marjoram","origanum","1"
"bihari","sanskrit","1"
"garter","band","1"
"cutaway","representation","1"
"juvenescence","growing","1"
"lord privy seal","cabinet minister","1"
"habenaria orbiculata","rein orchis","1"
"uproar","disturbance","1"
"print buffer","buffer storage","1"
"yield","indefinite quantity","1"
"suppression","ontogenesis","1"
"scots","english language","1"
"charlatan","cheater","1"
"slider","heater","1"
"holding pen","pen","1"
"spousal equivalent","person","1"
"forgery","offence","1"
"surcease","stop","1"
"thromboplastin","coagulation factor","1"
"organisation","social group","1"
"orchil","dyestuff","1"
"power line","transmission line","1"
"arundinaria","monocot genus","1"
"cooper","journeyman","1"
"bicycle-built-for-two","cycle","1"
"precociousness","intelligence","1"
"khalkha","mongolic language","1"
"exposure","revelation","1"
"denial","due process","1"
"genus alsophila","arthropod genus","1"
"venus' slipper","orchidaceous plant","1"
"lime","hydroxide","1"
"genus capparis","dilleniid dicot genus","1"
"goldie's wood fern","shield fern","1"
"articulated lorry","motortruck","1"
"tympanites","distention","1"
"salutatory speaker","scholar","1"
"sarcenet","silk","1"
"sociability","sociality","1"
"pink","chromatic color","1"
"haematocyturia","hematuria","1"
"atomic number 92","metallic element","1"
"subroutine","computer software","1"
"ethrane","ether","1"
"assay-mark","marker","1"
"colpoxerosis","disorder","1"
"rudderstock","post","1"
"iron horse","locomotive engine","1"
"family cleridae","arthropod family","1"
"star-spangled banner","flag","1"
"frame of mind","psychological state","1"
"monorchidism","cryptorchidy","1"
"penoncel","pennon","1"
"didelphis virginiana","opossum","1"
"obstruction","handicap","1"
"hindrance","act","1"
"genus choriotis","bird genus","1"
"perceptual constancy","perception","1"
"pus","bodily fluid","1"
"drinking","intemperateness","1"
"indexing","classification","1"
"two-winged insects","insect","1"
"dressing down","reproval","1"
"insidiousness","treachery","1"
"good humor","mood","1"
"fight","action","1"
"pioneer","conceiver","1"
"genetic counseling","counselling","1"
"exponent","somebody","1"
"fawner","crawler","1"
"lividity","madness","1"
"bartle frere","dicot genus","1"
"splotch","spot","1"
"ruritania","imaginary place","1"
"paraboloid","plane figure","1"
"ang","national guard","1"
"genus papio","mammal genus","1"
"domino effect","effect","1"
"tantalizer","tormenter","1"
"shove","pushing","1"
"polemoniaceae","asterid dicot family","1"
"genus andropogon","liliopsid genus","1"
"yellow foxtail","foxtail","1"
"mommy","female parent","1"
"mate","animal","1"
"family cetorhinidae","fish family","1"
"final payment","payment","1"
"tree farmer","granger","1"
"misreading","misinterpretation","1"
"rondeau","classical","1"
"belgian endive","chicory escarole","1"
"chem lab","laboratory","1"
"apar","armadillo","1"
"astasia","handicap","1"
"conger","eel","1"
"dappled-grey","grey","1"
"xylosma","bush","1"
"schnapps","spirits","1"
"outlet","business establishment","1"
"charr","salmonid","1"
"pyrophorus noctiluca","elater","1"
"appeaser","make-peace","1"
"constatation","supposition","1"
"elephant tree","incense tree","1"
"hydrocharis morsus-ranae","aquatic plant","1"
"pawnbroker","pledgee","1"
"betrayer","deceiver","1"
"anchor","hook","1"
"action","drive","1"
"adhocracy","organization","1"
"israelite","mortal","1"
"pernio","blain","1"
"scan","picture","1"
"feather-foil","hydrophytic plant","1"
"maoist","advocate","1"
"gracilariid moth","tineoid moth","1"
"beef man","stock raiser","1"
"palaeencephalon","neural structure","1"
"riparian right","right","1"
"service","tennis stroke","1"
"creatin","aminoalkanoic acid","1"
"genus dactylis","liliopsid genus","1"
"checking account","bank account","1"
"genus sciadopitys","gymnosperm genus","1"
"circumflex iliac artery","circumflex artery","1"
"filet mignon","filet","1"
"version","representation","1"
"tuille","armor plating","1"
"war god","immortal","1"
"anorgasmia","disability","1"
"housecraft","craft","1"
"chemistry laboratory","research laboratory","1"
"dowager's hump","spinal curvature","1"
"nutter","flake","1"
"irredentism","philosophical system","1"
"cutleaved coneflower","coneflower","1"
"ribbon fern","adder's tongue","1"
"cure-all","curative","1"
"rest","inactivity","1"
"basketeer","athlete","1"
"daub","mar","1"
"lemon sumac","sumach","1"
"saver","possessor","1"
"california coffee","buckthorn","1"
"church bench","bench","1"
"ring armor","suit of armour","1"
"vortex vein","venous blood vessel","1"
"polyergus","arthropod genus","1"
"hosepipe","tube","1"
"hair cell","epithelial cell","1"
"liveliness","brio","1"
"microsporangium","sporangium","1"
"dbms","software system","1"
"emigre","migrator","1"
"foryml","acyl group","1"
"legal blindness","sightlessness","1"
"garcinia hanburyi","flowering tree","1"
"silvery wormwood","sage brush","1"
"anti-intellectual","plebeian","1"
"devices","inclination","1"
"genus phaseolus","rosid dicot genus","1"
"tulip bed","bed of flowers","1"
"mangifera indica","fruit tree","1"
"lamellar mixture","mixture","1"
"employee stock ownership plan","stock purchase plan","1"
"burr","bit","1"
"june bug","scarabaeid beetle","1"
"test period","time period","1"
"bending","movement","1"
"prickle cell","skin cell","1"
"ledum palustre","bush","1"
"stable companion","equus caballus","1"
"unmarried woman","adult female","1"
"motive","figure","1"
"dexamethasone","adrenal cortical steroid","1"
"traitor","cheater","1"
"cycadaceae","gymnosperm family","1"
"genus agonus","fish genus","1"
"chem lab","research lab","1"
"genus cedrela","rosid dicot genus","1"
"lance","surgical knife","1"
"subdivision","piece of writing","1"
"bite","taste","1"
"atomic number 116","element","1"
"german pancake","flapcake","1"
"regurgitation","instinctive reflex","1"
"tanning","trouncing","1"
"halloo","outcry","1"
"shipbuilding","building","1"
"relative quantity","amount","1"
"munjeet","madderwort","1"
"tint","color","1"
"duralumin","alloy","1"
"bistro","eatery","1"
"achievement","action","1"
"expression","visage","1"
"scaly anteater","eutherian mammal","1"
"ichneumon","mongoose","1"
"radiotelegraph","wireless","1"
"mexican hairless","canis familiaris","1"
"widow's peak","point","1"
"solidago missouriensis","goldenrod","1"
"back","football player","1"
"stomach exercise","workout","1"
"test bed","workplace","1"
"repudiation","exposure","1"
"juice","foodstuff","1"
"double-bitted axe","axe","1"
"mountain bladder fern","bladder fern","1"
"air castle","dreaming","1"
"seaweed","alga","1"
"coastal plain","earth","1"
"order","arrangement","1"
"price","reward","1"
"clammy chickweed","herbaceous plant","1"
"kiwi","vine","1"
"suicide bomber","terrorist","1"
"nonparametric statistics","statistics","1"
"infant's-breath","bedstraw","1"
"cornus florida","dogwood","1"
"club drug","controlled substance","1"
"minor tranquilliser","tranquilliser","1"
"bay wreath","lei","1"
"protractor","drafting instrument","1"
"western silvery aster","aster","1"
"doxepin hydrochloride","tricyclic","1"
"speed bump","interference","1"
"finishing coat","plaster","1"
"tracer","police detective","1"
"borshch","soup","1"
"health care","social insurance","1"
"heterocyclic","compound","1"
"tent caterpillar","caterpillar","1"
"temporal ccortex","lobe","1"
"tudor","swayer","1"
"yew family","gymnosperm family","1"
"political campaign","cause","1"
"crocodilian","diapsid","1"
"violoncello","string","1"
"beta ray","ionizing radiation","1"
"lancaster","royalty","1"
"cassia augustifolia","senna","1"
"drug bust","impoundment","1"
"guerilla force","force","1"
"expurgation","deletion","1"
"murmuring","sound","1"
"trace program","service program","1"
"kangaroo hare","wallaby","1"
"base","support","1"
"passiflora edulis","passionflower","1"
"faeces","excretion","1"
"salp","tunicate","1"
"flak catcher","interpreter","1"
"deceased person","somebody","1"
"egyptian deity","deity","1"
"carillon playing","music","1"
"crepe rubber","india rubber","1"
"hanseatic league","confederacy","1"
"instrument","supporter","1"
"talk","comment","1"
"hermitage","home","1"
"cereus","caryophylloid dicot genus","1"
"hell-rooster","battler","1"
"reiter's syndrome","syndrome","1"
"press stud","holdfast","1"
"animated oat","oat","1"
"watercolour","pigment","1"
"turkey wing","wing","1"
"tunnel vision","vision defect","1"
"stumping","candidature","1"
"pterodactylidae","reptile family","1"
"nighttime","period","1"
"domicile","housing","1"
"goncalo alves","zebrawood tree","1"
"baldric","belt","1"
"covetousness","envy","1"
"habergeon","chain armour","1"
"drop","small indefinite amount","1"
"cytologic smear","cytologic specimen","1"
"hippoglossus stenolepsis","righteye flounder","1"
"prickly heat","efflorescence","1"
"blink","innate reflex","1"
"agaricus arvensis","agaric","1"
"instrument of punishment","instrument","1"
"chachka","girl","1"
"centaury","suffrutex","1"
"sector","computer memory unit","1"
"sunburst","sun","1"
"child molester","deviate","1"
"medicago intertexta","medick","1"
"adaptive radiation","radiation","1"
"copyhold","land tenure","1"
"cartridge holder","supply chamber","1"
"spot price","price","1"
"attention","module","1"
"spoken language","auditory communication","1"
"compound","chemical substance","1"
"referent","term","1"
"basketweaver","shaper","1"
"storm","disturbance","1"
"mechanization","high tech","1"
"enculturation","social control","1"
"playfellow","fellow","1"
"puppy","young person","1"
"shaitan","jinnee","1"
"analecta","excerption","1"
"step dancing","terpsichore","1"
"legume family","rosid dicot family","1"
"juxtaposition","emplacement","1"
"jordanian monetary unit","monetary unit","1"
"hyperidrosis","sudation","1"
"efflorescence","development","1"
"tease","molestation","1"
"exclamation mark","punctuation","1"
"motorway","main road","1"
"christmas","holy day of obligation","1"
"myristic acid","saturated fatty acid","1"
"colonizer","founding father","1"
"hip-hop","popular music","1"
"darpa","agency","1"
"radiotelegraphy","radio","1"
"achondroplasty","inherited disease","1"
"textual matter","matter","1"
"swamp hickory","hickory tree","1"
"roast","critique","1"
"mark","valuation","1"
"sialis","arthropod genus","1"
"congee","firing","1"
"cosmetician","craftsman","1"
"genus utahraptor","reptile genus","1"
"relative","person","1"
"peter pan collar","collar","1"
"tread","tangency","1"
"armyworm","sciarid","1"
"canaliculus","epithelial duct","1"
"genus tragopogon","asterid dicot genus","1"
"kept woman","lover","1"
"alloantibody","antibody","1"
"weed","band","1"
"gerres","fish genus","1"
"knightia","magnoliopsid genus","1"
"mesmerizer","psychologist","1"
"outcropping","stone","1"
"punching bag","ball","1"
"metritis","rubor","1"
"pilferer","stealer","1"
"conventicle","house of prayer","1"
"health","status","1"
"tung-oil tree","flowering tree","1"
"time-fuse","primer","1"
"police cruiser","machine","1"
"steel mill","mill","1"
"plantation","demesne","1"
"side door","outside door","1"
"adjective","modifier","1"
"breakableness","body","1"
"woman's clothing","wear","1"
"scorpaenid fish","scorpaenoid","1"
"stirring","rousing","1"
"bill of indictment","instrument","1"
"leo","individual","1"
"pearl millet","cereal grass","1"
"outlet","opening","1"
"elamite","natural language","1"
"orthopedist","specialist","1"
"scratch pad","notepad","1"
"genus saxicola","bird genus","1"
"colour television","television system","1"
"atomic number 25","metal","1"
"service","work","1"
"acre","area unit","1"
"balldress","eveningwear","1"
"subhead","header","1"
"roadhouse","hostel","1"
"system of macrophages","system","1"
"feelings","sensitiveness","1"
"desert holly","saltbush","1"
"device","design","1"
"feather reed grass","reed grass","1"
"mid-october","period","1"
"half blood","sibling","1"
"peak","extreme","1"
"clansman","fellow member","1"
"khz","rate","1"
"talkie","moving-picture show","1"
"tin opener","opener","1"
"nuclear reaction","natural process","1"
"rennet","organic compound","1"
"elul","jewish calendar month","1"
"succus","humor","1"
"laterality","asymmetry","1"
"somnolence","temporary state","1"
"editor","skilled worker","1"
"finisher","relief pitcher","1"
"rhinoptera","fish genus","1"
"screw bean","mesquit","1"
"possibleness","beingness","1"
"acute hemorrhagic encephalitis","phrenitis","1"
"law of chemical equilibrium","law of nature","1"
"federal reserve bank","banking company","1"
"pelter","rain","1"
"camassia leichtlinii","camas","1"
"penny pincher","hoarder","1"
"supposition","possibility","1"
"wyrd","anglo-saxon deity","1"
"steam line","piping","1"
"heat of condensation","latent heat","1"
"cucurbita pepo","squash vine","1"
"trifluoromethane","haloform","1"
"coreopsis gigantea","tickseed","1"
"belly flopper","dive","1"
"meat grinder","hostility","1"
"stifle","joint","1"
"sun gear","cogwheel","1"
"parliament","card game","1"
"ebs","point","1"
"dutchman's-pipe","aristolochia clematitis","1"
"genus molothrus","bird genus","1"
"sleep disorder","upset","1"
"iliamna remota","mallow","1"
"investment advisor","consultant","1"
"crystal ball","ball","1"
"dish aerial","directional antenna","1"
"demoralization","debasement","1"
"piranga ludoviciana","tanager","1"
"desert rheumatism","fungal infection","1"
"megalosaur","theropod","1"
"tenter","framework","1"
"bold","face","1"
"spreading","transmission","1"
"hope","somebody","1"
"clitoridectomy","ablation","1"
"wight","individual","1"
"the likes of","kind","1"
"testicular artery","arterial blood vessel","1"
"noise","yell","1"
"hypervolemia","blood disorder","1"
"allomerism","variation","1"
"pasture","grassland","1"
"furnishing","accoutrement","1"
"galvanisation","coating","1"
